BLL,YAHOO,Ball Corporation,United States,Consumer Goods,Packaging & Containers
IP,YAHOO,International Paper Company,United States,Consumer Goods,Packaging & Containers
SEE,YAHOO,Sealed Air Corporation,United States,Consumer Goods,Packaging & Containers
AVP,YAHOO,Avon Products Inc.,United States,Consumer Goods,Personal Products
CL,YAHOO,Colgate-Palmolive Co.,United States,Consumer Goods,Personal Products
EL,YAHOO,The Est�e Lauder Companies Inc.,United States,Consumer Goods,Personal Products
KMB,YAHOO,Kimberly-Clark Corporation,United States,Consumer Goods,Personal Products
PG,YAHOO,The Procter & Gamble Company,United States,Consumer Goods,Personal Products
CPB,YAHOO,Campbell Soup Company,United States,Consumer Goods,Processed & Packaged Goods
K,YAHOO,Kellogg Company,United States,Consumer Goods,Processed & Packaged Goods
MJN,YAHOO,Mead Johnson Nutrition Company,United States,Consumer Goods,Processed & Packaged Goods
SJM,YAHOO,The J. M. Smucker Company,United States,Consumer Goods,Processed & Packaged Goods
GT,YAHOO,The Goodyear Tire & Rubber Company,United States,Consumer Goods,Rubber & Plastics
RL,YAHOO,Ralph Lauren Corporation,United States,Consumer Goods,Textile - Apparel Clothing
VFC,YAHOO,V.F. Corporation,United States,Consumer Goods,Textile - Apparel Clothing
HAS,YAHOO,Hasbro Inc.,United States,Consumer Goods,Toys & Games
PCAR,YAHOO,PACCAR Inc.,United States,Consumer Goods,Trucks & Other Vehicles
AFL,YAHOO,Aflac Incorporated,United States,Financial,Accident & Health Insurance
UNM,YAHOO,Unum Group,United States,Financial,Accident & Health Insurance
BK,YAHOO,The Bank of New York Mellon Corporation,United States,Financial,Asset Management
IVZ,YAHOO,Invesco Ltd.,United States,Financial,Asset Management
NTRS,YAHOO,Northern Trust Corporation,United States,Financial,Asset Management
STT,YAHOO,State Street Corporation,United States,Financial,Asset Management
AXP,YAHOO,American Express Company,United States,Financial,Credit Services
COF,YAHOO,Capital One Financial Corporation,United States,Financial,Credit Services
DFS,YAHOO,Discover Financial Services,United States,Financial,Credit Services
EFX,YAHOO,Equifax Inc.,United States,Financial,Credit Services
MA,YAHOO,Mastercard Incorporated,United States,Financial,Credit Services
SLM,YAHOO,SLM Corporation,United States,Financial,Credit Services
V,YAHOO,Visa Inc.,United States,Financial,Credit Services
WU,YAHOO,The Western Union Company,United States,Financial,Credit Services
AON,YAHOO,Aon plc,United Kingdom,Financial,Insurance Brokers
CME,YAHOO,CME Group Inc.,United States,Financial,Investment Brokerage - National
ETFC,YAHOO,E*TRADE Financial Corporation,United States,Financial,Investment Brokerage - National
LUK,YAHOO,Leucadia National Corporation,United States,Financial,Investment Brokerage - National
MS,YAHOO,Morgan Stanley,United States,Financial,Investment Brokerage - National
SCHW,YAHOO,The Charles Schwab Corporation,United States,Financial,Investment Brokerage - National
LNC,YAHOO,Lincoln National Corporation,United States,Financial,Life Insurance
PFG,YAHOO,Principal Financial Group Inc.,United States,Financial,Life Insurance
TMK,YAHOO,Torchmark Corporation,United States,Financial,Life Insurance
BAC,YAHOO,Bank of America Corporation,United States,Financial,Money Center Banks
C,YAHOO,Citigroup Inc.,United States,Financial,Money Center Banks
CMA,YAHOO,Comerica Incorporated,United States,Financial,Money Center Banks
JPM,YAHOO,JPMorgan Chase & Co.,United States,Financial,Money Center Banks
WFC,YAHOO,Wells Fargo & Company,United States,Financial,Money Center Banks
ALL,YAHOO,The Allstate Corporation,United States,Financial,Property & Casualty Insurance
CB,YAHOO,Chubb Limited,Switzerland,Financial,Property & Casualty Insurance
CINF,YAHOO,Cincinnati Financial Corp.,United States,Financial,Property & Casualty Insurance
L,YAHOO,Loews Corporation,United States,Financial,Property & Casualty Insurance
PGR,YAHOO,Progressive Corp.,United States,Financial,Property & Casualty Insurance
XL,YAHOO,XL Group Ltd,Bermuda,Financial,Property & Casualty Insurance
FITB,YAHOO,Fifth Third Bancorp,United States,Financial,Regional - Midwest Banks
HBAN,YAHOO,Huntington Bancshares Incorporated,United States,Financial,Regional - Midwest Banks
KEY,YAHOO,KeyCorp.,United States,Financial,Regional - Midwest Banks
USB,YAHOO,U.S. Bancorp,United States,Financial,Regional - Midwest Banks
